customer_id,age,income_ugx,credit_score,loan_amount_ugx,loan_type,loan_purpose,loan_term_months,interest_rate_annual,monthly_payment_ugx,total_repayment_ugx,total_interest_ugx,payments_made,payments_missed,employment_status,debt_to_income_ratio,existing_debt_ugx,collateral,payment_method,region,district,season,application_date,payment_history,repayment_schedule,status
1,60,688389,659,3096361,business,Shop expansion,18,21.7,203070,3655260,558899,0,0,Farmer,68.2,9580998,Group Guarantee,Mobile Money,Central,Gomba,N/A,2023-08-27,"Application rejected, no payments made","Application rejected, no payments made",rejected
2,52,4854032,608,301875678,mortgage,House construction,138,21.8,5982848,825633024,523757346,0,0,Farmer,135.3,21065406,Group Guarantee,Cash at Branch,Central,Mityana,N/A,2023-12-11,"Application rejected, no payments made","Application rejected, no payments made",rejected
3,26,501414,671,865902,agricultural,Seed and fertilizer,15,22.9,66928,1003920,138018,0,0,Trader,33.0,3549113,Mobile Money History,Cash at Branch,Northern,Arua,Harvest Season (Sep-Nov),2024-11-08,"Application rejected, no payments made","Application rejected, no payments made",rejected
4,34,5669343,741,62358364,business,Restaurant equipment,12,16.1,5660779,67929348,5570984,12,0,Construction Worker,123.2,47571653,Salary Assignment,Cash at Branch,Western,Rukungiri,N/A,2024-10-25,"All payments on time, loan fully repaid","All payments on time, loan fully repaid",approved
5,24,3217807,601,37457371,business,Equipment purchase,18,24.5,2507648,45137664,7680293,5,14,NGO Worker,106.0,32477770,Salary Assignment,Mobile Money,Eastern,Bukwo,N/A,2023-03-09,"Defaulted after 5 payments, 14 missed payments total","Paid months 1-5, then missed payments at months 1, 2, 3...17, 18",defaulted
6,33,22558837,601,22064682,education,Books and supplies,42,23.8,779095,32721990,10657308,0,0,Farmer,14.9,93216060,Mobile Money History,Cash at Branch,Eastern,Bukwo,N/A,2024-02-13,"Application rejected, no payments made","Application rejected, no payments made",rejected
7,43,1290102,746,1435532,education,Exam registration,12,17.4,131200,1574400,138868,12,0,NGO Worker,14.5,2011245,Group Guarantee,Salary Deduction,Eastern,Bukwo,N/A,2024-09-02,"All payments on time, loan fully repaid","All payments on time, loan fully repaid",approved
8,49,4820397,681,14501903,personal,Debt consolidation,33,18.5,563982,18611406,4109503,0,36,Construction Worker,44.1,56298416,Salary Assignment,Mobile Money,Western,Bundibugyo,N/A,2023-09-27,"Defaulted after 0 payments, 36 missed payments total","Defaulted immediately, no payments made",defaulted
9,52,9258742,582,7132907,personal,Funeral costs,33,29.4,317674,10483242,3350335,33,0,SACCO Member,18.7,50763452,Salary Assignment,Bank Transfer,Eastern,Hoima,N/A,2023-01-01,"All payments on time, loan fully repaid","All payments on time, loan fully repaid",approved
10,58,1040845,663,5058188,agricultural,Irrigation equipment,15,20.2,384391,5765865,707677,0,0,Private Sector,63.3,9869816,None,Mobile Money,Central,Mukono,Growing Season (Jun-Aug),2024-07-16,"Application rejected, no payments made","Application rejected, no payments made",rejected
11,30,2272119,582,11293747,business,Transport business,54,29.9,382725,20667150,9373403,21,31,Student,36.8,16318043,Mobile Money History,SACCO Deduction,Western,Rukiga,N/A,2024-07-21,"Defaulted after 21 payments, 31 missed payments total","Paid months 1-21, then missed payments at months 1, 2, 3...51, 52",defaulted
12,34,2530160,582,2395869,personal,Funeral costs,12,29.6,233095,2797140,401271,2,13,Private Sector,35.0,23490163,Livestock,Cash at Branch,Central,Luwero,N/A,2024-08-13,"Defaulted after 2 payments, 13 missed payments total","Paid months 1-2, then missed payments at months 1, 2, 3...11, 12",defaulted
13,50,1991896,639,2578472,education,School fees,24,22.4,134276,3222624,644152,0,0,Security Guard,21.1,10303309,None,Mobile Money,Northern,Dokolo,N/A,2023-03-04,"Application rejected, no payments made","Application rejected, no payments made",rejected
14,45,11715856,466,5883040,personal,Wedding costs,12,31.1,576709,6920508,1037468,0,0,Construction Worker,21.4,69377770,Business Inventory,SACCO Deduction,Northern,Agago,N/A,2024-07-17,"Application rejected, no payments made","Application rejected, no payments made",rejected
15,26,966847,482,979146,personal,Family emergency,6,31.0,178260,1069560,90414,0,0,Construction Worker,36.2,6197936,Land Title,Bank Transfer,Eastern,Mitooma,N/A,2024-04-10,"Application rejected, no payments made","Application rejected, no payments made",rejected
16,38,2165530,575,4268722,education,Books and supplies,18,27.2,291452,5246136,977414,0,0,Boda Boda Rider,58.7,35242522,Land Title,Mobile Money,Central,Buikwe,N/A,2024-06-27,"Application rejected, no payments made","Application rejected, no payments made",rejected
17,30,932496,538,6856508,business,Stock purchase,12,31.4,673152,8077824,1221316,0,0,Private Sector,98.0,8679343,SACCO Shares,Bank Transfer,Northern,Kitgum,N/A,2024-09-26,"Application rejected, no payments made","Application rejected, no payments made",rejected
18,25,2224049,645,251199966,mortgage,Home renovation,120,20.8,4988561,598627320,347427354,0,0,Healthcare Worker,242.2,14335610,Group Guarantee,Bank Transfer,Eastern,Ntungamo,N/A,2024-04-13,"Application rejected, no payments made","Application rejected, no payments made",rejected
19,40,14434143,547,7831626,education,Books and supplies,12,33.2,775863,9310356,1478730,12,0,Civil Servant,17.2,61336900,Vehicle Logbook,Bank Transfer,Eastern,Rukiga,N/A,2024-12-21,"All payments on time, loan fully repaid","All payments on time, loan fully repaid",approved
20,39,4718538,507,247056715,mortgage,Home renovation,114,28.6,6319236,720392904,473336189,0,0,Civil Servant,154.4,34805193,Vehicle Logbook,Salary Deduction,Western,Kasese,N/A,2024-09-11,"Application rejected, no payments made","Application rejected, no payments made",rejected
21,33,6707898,737,23560359,agricultural,Storage facility,24,19.6,1194525,28668600,5108241,4,19,Boda Boda Rider,57.3,95349700,Business Inventory,Mobile Money,Central,Kassanda,Planting Season (Mar-May),2024-03-28,"Defaulted after 4 payments, 19 missed payments total","Paid months 1-4, then missed payments at months 1, 2, 3...22, 23",defaulted
22,55,9705227,601,12260646,personal,Medical expenses,6,24.8,2193769,13162614,901968,2,5,Civil Servant,26.1,12151487,SACCO Shares,Salary Deduction,Central,Buvuma,N/A,2024-01-02,"Defaulted after 2 payments, 5 missed payments total","Paid months 1-2, then missed payments at months 1, 2, 3...5, 6",defaulted
23,33,2931147,625,364729549,mortgage,Home renovation,228,23.9,7346101,1674911028,1310181479,0,0,Trader,278.1,28998143,Savings Account,SACCO Deduction,Eastern,Masindi,N/A,2024-02-26,"Application rejected, no payments made","Application rejected, no payments made",rejected
24,62,11801058,506,23566553,agricultural,Land preparation,9,32.6,2986885,26881965,3315412,0,0,Farmer,63.1,160562856,Livestock,SACCO Deduction,Northern,Nwoya,Harvest Season (Sep-Nov),2023-08-17,"Application rejected, no payments made","Application rejected, no payments made",rejected
25,21,4171287,576,13537167,agricultural,Harvest labor,6,29.4,2453564,14721384,1184217,0,0,Trader,77.5,28048379,Vehicle Logbook,Cash at Branch,Western,Mbarara,Growing Season (Jun-Aug),2023-02-09,"Application rejected, no payments made","Application rejected, no payments made",rejected
26,26,3949916,628,24290909,agricultural,Storage facility,21,27.9,1475115,30977415,6686506,0,0,Market Vendor,42.0,6577792,Land Title,SACCO Deduction,Eastern,Ntungamo,Planting Season (Mar-May),2024-11-17,"Application rejected, no payments made","Application rejected, no payments made",rejected
27,32,1146745,527,2192177,agricultural,Livestock purchase,18,36.3,159727,2875086,682909,0,0,Boda Boda Rider,27.9,5785803,Group Guarantee,Cash at Branch,Western,Kyegegwa,Dry Season (Dec-Feb),2023-05-11,"Application rejected, no payments made","Application rejected, no payments made",rejected
28,32,1795125,650,22686253,business,Transport business,60,20.2,603574,36214440,13528187,0,0,Boda Boda Rider,59.2,16524745,Business Inventory,Bank Transfer,Central,Kayunga,N/A,2024-09-13,"Application rejected, no payments made","Application rejected, no payments made",rejected
29,61,1926492,571,11791730,business,Restaurant equipment,54,30.2,401717,21692718,9900988,0,0,Unemployed,84.8,44378608,Vehicle Logbook,Cash at Branch,Eastern,Butebo,N/A,2024-09-26,"Application rejected, no payments made","Application rejected, no payments made",rejected
30,41,646277,596,4029246,agricultural,Storage facility,12,28.8,390425,4685100,655854,0,0,Boda Boda Rider,61.6,265197,SACCO Shares,Mobile Money,Eastern,Sironko,Dry Season (Dec-Feb),2024-08-12,"Application rejected, no payments made","Application rejected, no payments made",rejected
31,32,8221044,571,9062194,education,Boarding fees,24,28.6,500185,12004440,2942246,0,0,Unemployed,6.5,1094020,Livestock,Bank Transfer,Central,Kassanda,N/A,2024-06-14,"Application rejected, no payments made","Application rejected, no payments made",rejected
32,49,661303,768,889915,personal,Wedding costs,24,13.2,42392,1017408,127493,0,0,SACCO Member,26.4,4767888,None,Salary Deduction,Western,Bundibugyo,N/A,2024-07-15,"Application rejected, no payments made","Application rejected, no payments made",rejected
33,48,11238233,618,14316141,education,Vocational training,48,25.0,474682,22784736,8468595,2,49,Construction Worker,35.0,124589187,Mobile Money History,SACCO Deduction,Western,Bundibugyo,N/A,2023-08-29,"Defaulted after 2 payments, 49 missed payments total","Paid months 1-2, then missed payments at months 1, 2, 3...47, 48",defaulted
34,37,2132781,535,8145485,business,Stock purchase,18,33.3,581039,10458702,2313217,0,0,Private Sector,31.8,3519721,Group Guarantee,SACCO Deduction,Eastern,Gulu,N/A,2023-07-31,"Application rejected, no payments made","Application rejected, no payments made",rejected
35,46,2224903,685,7494185,personal,Debt consolidation,30,19.9,319101,9573030,2078845,0,0,Market Vendor,52.1,30204125,Group Guarantee,SACCO Deduction,Western,Bundibugyo,N/A,2024-07-13,"Application rejected, no payments made","Application rejected, no payments made",rejected
36,58,9095565,522,17243285,agricultural,Livestock purchase,21,32.2,1084755,22779855,5536570,0,0,Farmer,26.5,47693694,Savings Account,SACCO Deduction,Northern,Maracha,Growing Season (Jun-Aug),2023-01-28,"Application rejected, no payments made","Application rejected, no payments made",rejected
37,45,2613674,636,15850189,education,Exam registration,18,23.8,1055692,19002456,3152267,0,0,Private Sector,41.9,1419418,Livestock,SACCO Deduction,Northern,Alebtong,N/A,2023-10-12,"Application rejected, no payments made","Application rejected, no payments made",rejected
38,68,26145368,463,13075224,personal,Home repairs,24,34.5,761699,18280776,5205552,0,0,Teacher,4.3,13073254,Vehicle Logbook,Mobile Money,Western,Kisoro,N/A,2023-07-24,"Application rejected, no payments made","Application rejected, no payments made",rejected
39,21,3500530,513,11212104,education,Boarding fees,12,35.7,1124711,13496532,2284428,0,0,Self-Employed,50.7,23441261,Salary Assignment,Bank Transfer,Western,Bundibugyo,N/A,2023-04-28,"Application rejected, no payments made","Application rejected, no payments made",rejected
40,69,7609183,635,401394246,mortgage,House construction,60,22.3,11154647,669278820,267884574,0,0,Private Sector,173.8,74620841,Livestock,Mobile Money,Northern,Apac,N/A,2023-04-15,"Application rejected, no payments made","Application rejected, no payments made",rejected
41,64,10739980,679,6059015,personal,Wedding costs,30,19.4,256485,7694550,1635535,30,0,Healthcare Worker,13.1,41406941,Mobile Money History,Cash at Branch,Western,Fort Portal,N/A,2024-05-16,"All payments on time, loan fully repaid","All payments on time, loan fully repaid",approved
42,26,1759563,633,8186042,education,Boarding fees,18,22.7,540839,9735102,1549060,0,0,Boda Boda Rider,55.1,15423177,Mobile Money History,SACCO Deduction,Western,Kamwenge,N/A,2024-08-29,"Application rejected, no payments made","Application rejected, no payments made",rejected
43,37,1514840,610,4539021,personal,Family emergency,15,23.0,351053,5265795,726774,3,12,Construction Worker,40.2,9292258,Land Title,SACCO Deduction,Northern,Alebtong,N/A,2023-12-15,"Defaulted after 3 payments, 12 missed payments total","Paid months 1-3, then missed payments at months 1, 2, 3...14, 15",defaulted
44,37,10881955,595,28217088,agricultural,Irrigation equipment,3,31.8,9908543,29725629,1508541,0,0,SACCO Member,93.6,10061673,Mobile Money History,Bank Transfer,Northern,Lira,Dry Season (Dec-Feb),2024-04-03,"Application rejected, no payments made","Application rejected, no payments made",rejected
45,70,254264,501,448212,education,Exam registration,24,34.0,25993,623832,175620,0,0,Farmer,26.2,1463726,Mobile Money History,Cash at Branch,Western,Rubanda,N/A,2023-10-05,"Application rejected, no payments made","Application rejected, no payments made",rejected
46,39,1253033,562,4511861,business,Transport business,36,30.0,191536,6895296,2383435,0,0,Market Vendor,53.3,17157325,Livestock,SACCO Deduction,Eastern,Bushenyi,N/A,2024-09-03,"Application rejected, no payments made","Application rejected, no payments made",rejected
47,38,18513505,583,43048069,business,Shop expansion,36,28.2,1785277,64269972,21221903,36,0,Teacher,28.5,125835876,Land Title,Mobile Money,Eastern,Isingiro,N/A,2024-10-15,"All payments on time, loan fully repaid","All payments on time, loan fully repaid",approved
48,68,2551444,704,18614427,agricultural,Seed and fertilizer,24,17.8,927511,22260264,3645837,10,17,Healthcare Worker,41.0,4233542,None,Mobile Money,Central,Nakasongola,Planting Season (Mar-May),2023-06-05,"Defaulted after 10 payments, 17 missed payments total","Paid months 1-10, then missed payments at months 1, 2, 3...23, 24",defaulted
49,29,7548757,647,70955445,business,Equipment purchase,12,25.4,6757684,81092208,10136763,0,0,Private Sector,113.2,64466392,Group Guarantee,SACCO Deduction,Eastern,Kween,N/A,2024-08-25,"Application rejected, no payments made","Application rejected, no payments made",rejected
50,47,2302388,478,121778852,mortgage,Commercial building,240,33.7,3424400,821856000,700077148,0,0,Civil Servant,153.6,4018630,Vehicle Logbook,Bank Transfer,Eastern,Ntungamo,N/A,2023-03-18,"Application rejected, no payments made","Application rejected, no payments made",rejected
51,30,336193,645,55901810,mortgage,Home renovation,150,20.1,1020851,153127650,97225840,0,0,Market Vendor,315.2,1394767,None,Mobile Money,Western,Bunyangabu,N/A,2024-10-02,"Application rejected, no payments made","Application rejected, no payments made",rejected
52,57,3329713,589,5436532,personal,Funeral costs,27,28.6,275349,7434423,1997891,0,0,Student,53.7,54445489,Land Title,Bank Transfer,Eastern,Gulu,N/A,2024-08-05,"Application rejected, no payments made","Application rejected, no payments made",rejected
